Fight_ID,R_fighter,B_fighter,Winner,title_bout,B_current_streak,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_landed,B_total_time_fought(seconds),B_Stance,B_Height_cms,B_Reach_cms,R_streak,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_landed,R_total_time_fought(seconds),R_Stance,R_Height_cms,R_Reach_cms,B_age,R_age,R_Record,B_Record,B_Takedown_Diff,R_Takedown_Diff
1089,Gleison Tibau,Jeremy Stephens,Red,FALSE,-1,24.5,17,678.3333333,Orthodox,172.72,180.34,1,12.42857143,18.14285714,573,Southpaw,177.8,180.34,22,25,,,,
1088,Ricardo Almeida,Matt Horwich,Red,FALSE,-1,15,31,900,Orthodox,185.42,,-1,11,10.8,499.2,Orthodox,182.88,187.96,30,32,,,,
1087,Brock Larson,Jesse Sanders,Red,FALSE,0,,,,Orthodox,182.88,,1,18,20.5,900,Southpaw,180.34,180.34,,31,,,,
1086,Tim Credeur,Nick Catone,Red,FALSE,1,21,2,375,Southpaw,182.88,182.88,2,35.5,15.5,357,Orthodox,190.5,190.5,27,31,,,,
1085,Jorge Rivera,Nissen Osterneck,Red,FALSE,0,,,,Orthodox,187.96,,-1,23.88888889,12.44444444,365.7777778,Orthodox,185.42,185.42,27,37,,,,
1084,Rob Kimmons,Joe Vedepo,Red,FALSE,-1,7,7,87,Orthodox,182.88,,-1,4.5,2.5,162.5,Orthodox,177.8,185.42,,28,,,,
1083,Aaron Simpson,Tim McKenzie,Red,FALSE,0,,,,Orthodox,182.88,187.96,0,,,,Orthodox,182.88,185.42,26,34,,,,
1082,Rampage Jackson,Keith Jardine,Red,FALSE,1,43.44444444,26.66666667,597,Orthodox,187.96,193.04,1,37.2,32.6,768.6,Orthodox,185.42,185.42,33,30,,,,
1081,Shane Carwin,Gabriel Gonzaga,Red,FALSE,2,13.75,17.5,393.125,Orthodox,187.96,193.04,2,9,3,67.5,Orthodox,187.96,203.2,29,34,,,,
1080,Matt Brown,Pete Sell,Red,FALSE,1,28.5,36,641.6666667,Orthodox,180.34,190.5,1,31.66666667,17.66666667,592.3333333,Orthodox,182.88,190.5,26,28,,,,
1079,Matt Hamill,Mark Munoz,Red,FALSE,0,,,,Orthodox,182.88,182.88,1,30.85714286,30.71428571,541.4285714,Orthodox,185.42,193.04,31,32,,,,
1078,Gray Maynard,Jim Miller,Red,FALSE,2,38,13.5,849.5,Southpaw,172.72,180.34,4,18,10.4,609.6,Orthodox,175.26,177.8,25,29,,,,
1077,Tamdan McCrory,Ryan Madigan,Red,FALSE,0,,,,Orthodox,182.88,,-1,20,16.75,515.5,Switch,193.04,198.12,,22,,,,
1076,Kendall Grove,Jason Day,Red,FALSE,-1,18,14,230,Orthodox,182.88,182.88,1,25,20.16666667,497.6666667,Orthodox,198.12,200.66,27,26,,,,
1075,Jason Brilz,Tim Boetsch,Red,FALSE,1,25,15.66666667,266.6666667,Orthodox,182.88,187.96,1,34,4,474,Orthodox,180.34,180.34,28,33,,,,
1074,Brandon Vera,Michael Patt,Red,FALSE,-1,9,15,123,Orthodox,182.88,,-1,27.125,23.5,474.375,Orthodox,190.5,193.04,,31,,,,
1073,Shane Nelson,Aaron Riley,Red,FALSE,1,54,53,700,Southpaw,172.72,175.26,1,10,21,900,Southpaw,175.26,177.8,28,24,,,,
1072,Diego Sanchez,Joe Stevenson,Red,FALSE,-1,17.66666667,19.44444444,524,Orthodox,170.18,177.8,2,26.9,15.7,632,Southpaw,177.8,182.88,26,27,,,,
1071,Dan Hardy,Rory Markham,Red,FALSE,1,6,18,97,Orthodox,182.88,180.34,1,57,56,900,Orthodox,182.88,187.96,26,26,,,,
1070,Nate Marquardt,Wilson Gouveia,Red,FALSE,2,19.5,22.75,377.75,Orthodox,185.42,193.04,1,28.125,12.5,592.875,Orthodox,182.88,187.96,30,29,,,,
1069,Demian Maia,Chael Sonnen,Red,FALSE,-1,14.33333333,7,552.3333333,Southpaw,185.42,187.96,4,12.5,6,376,Southpaw,185.42,182.88,31,31,,,,
1068,Paulo Thiago,Josh Koscheck,Red,FALSE,1,19,16.30769231,586.1538462,Orthodox,177.8,185.42,0,,,,Orthodox,180.34,185.42,31,28,,,,
1067,Terry Etim,Brian Cobb,Red,FALSE,0,,,,Orthodox,180.34,,1,28.75,28.75,747,Orthodox,185.42,185.42,,23,,,,
1066,Junior Dos Santos,Stefan Struve,Red,FALSE,0,,,,Orthodox,210.82,213.36,1,7,6,81,Orthodox,193.04,195.58,21,25,,,,
1065,Evan Dunham,Per Eklund,Red,FALSE,1,25.5,28,803.5,Orthodox,177.8,182.88,0,,,,Southpaw,177.8,177.8,,27,,,,
1064,Mike Ciesnolevicz,Neil Grove,Red,FALSE,0,,,,Orthodox,198.12,,0,,,,Orthodox,182.88,,38,29,,,,
1063,Paul Kelly,Troy Mandaloniz,Red,FALSE,1,30,20,260,Orthodox,175.26,,-1,36.5,34,668,Orthodox,175.26,177.8,29,24,,,,
1062,Joe Lauzon,Jeremy Stephens,Red,FALSE,1,26.4,18.2,697.4,Orthodox,172.72,180.34,1,9.2,12,290.6,Orthodox,177.8,180.34,22,24,,,,
1061,Cain Velasquez,Denis Stojnic,Red,FALSE,0,,,,Orthodox,182.88,,2,30,1,126,Orthodox,185.42,195.58,29,26,,,,
1060,Josh Neer,Mac Danzig,Red,FALSE,-1,30.66666667,23,616.3333333,Orthodox,172.72,177.8,-1,28.42857143,30.42857143,665.2857143,Orthodox,180.34,182.88,29,25,,,,
1059,Anthony Johnson,Luigi Fioravanti,Red,FALSE,1,25.25,23.875,683.875,Orthodox,172.72,177.8,1,25.2,13.6,398.4,Orthodox,187.96,198.12,28,24,,,,
1058,Kurt Pellegrino,Rob Emerson,Red,FALSE,2,29,25.66666667,417,Orthodox,175.26,177.8,1,23.57142857,13.57142857,526.1428571,Orthodox,172.72,177.8,27,29,,,,
1057,Dan Miller,Jake Rosholt,Red,FALSE,0,,,,Orthodox,185.42,,2,15.5,7.5,493.5,Orthodox,185.42,187.96,26,27,,,,
1056,Matt Veach,Matt Grice,Red,FALSE,1,35,7.5,594,Orthodox,172.72,177.8,0,,,,Orthodox,180.34,,27,27,,,,
1055,Gleison Tibau,Rich Clementi,Red,FALSE,-1,18.88888889,27.66666667,699.5555556,Southpaw,175.26,182.88,-2,13.33333333,21,622.6666667,Southpaw,177.8,180.34,32,25,,,,
1054,Nick Catone,Derek Downey,Red,FALSE,0,,,,Orthodox,185.42,,0,,,,Southpaw,182.88,182.88,28,27,,,,
1053,Matthew Riddle,Steve Bruno,Red,FALSE,1,7.5,41.5,712,Orthodox,177.8,,1,60,34,900,Southpaw,185.42,187.96,27,23,,,,
1052,Georges St-Pierre,BJ Penn,Red,TRUE,3,36.69230769,22.07692308,678.3846154,Orthodox,175.26,177.8,4,44,12.53846154,614.7692308,Orthodox,180.34,193.04,30,27,,,,
1051,Lyoto Machida,Thiago Silva,Red,FALSE,4,22.5,13.25,244.5,Orthodox,187.96,187.96,5,52.2,11.2,832,Southpaw,185.42,187.96,26,30,,,,
1050,Jon Jones,Stephan Bonnar,Red,FALSE,2,27.5,35.375,671.375,Orthodox,193.04,198.12,1,42,34,900,Orthodox,193.04,213.36,31,21,,,,
1049,Karo Parisyan,Dong Hyun Kim,Draw,FALSE,2,44.5,25,762.5,Southpaw,187.96,193.04,-1,31.72727273,27.36363636,730.9090909,Orthodox,177.8,182.88,27,26,,,,
1048,Clay Guida,Nate Diaz,Red,FALSE,5,12.2,14.2,435,Southpaw,182.88,193.04,2,34.28571429,29.57142857,726.8571429,Orthodox,170.18,177.8,23,27,,,,
1047,Jon Fitch,Akihiro Gono,Red,FALSE,-1,41.5,44,699.5,Switch,170.18,172.72,-1,31.55555556,24.55555556,791.7777778,Orthodox,182.88,193.04,34,30,,,,
1046,Thiago Tavares,Manvel Gamburyan,Red,FALSE,-1,5.5,2.25,131,Orthodox,165.1,170.18,-2,14.66666667,21.83333333,747.6666667,Orthodox,170.18,172.72,27,24,,,,
1045,John Howard,Chris Wilson,Red,FALSE,1,34.5,22.5,900,Orthodox,185.42,190.5,0,,,,Orthodox,170.18,180.34,31,25,,,,
1044,Jake O'Brien,Christian Wellisch,Red,FALSE,-1,17.25,21.75,328.5,Orthodox,187.96,195.58,-2,11.2,12.8,566.2,Orthodox,190.5,193.04,33,24,,,,
1043,Dan Cramer,Matt Arroyo,Red,FALSE,-1,15,16.5,401,Orthodox,177.8,182.88,0,,,,Orthodox,187.96,,26,23,,,,
1042,Dan Henderson,Rich Franklin,Red,FALSE,2,43.84615385,15.30769231,563.8461538,Southpaw,185.42,190.5,1,36.2,40.8,958.4,Orthodox,180.34,187.96,34,38,,,,
1041,Mauricio Rua,Mark Coleman,Red,FALSE,-3,20.22222222,11.33333333,506.3333333,Orthodox,185.42,190.5,-1,27,66,885,Orthodox,185.42,193.04,44,27,,,,
1040,Rousimar Palhares,Jeremy Horn,Red,FALSE,-2,12.33333333,15.16666667,478.3333333,Orthodox,185.42,187.96,-1,13.5,21.5,528,Orthodox,172.72,180.34,33,28,,,,
1039,Alan Belcher,Denis Kang,Red,FALSE,0,,,,Orthodox,180.34,195.58,1,22.71428571,25.71428571,548.1428571,Orthodox,187.96,185.42,31,24,,,,
1038,Marcus Davis,Chris Lytle,Red,FALSE,1,24.53846154,24,613.8461538,Orthodox,180.34,172.72,1,21.11111111,13.22222222,431,Southpaw,177.8,177.8,34,35,,,,
1037,John Hathaway,Tom Egan,Red,FALSE,0,,,,Orthodox,180.34,,0,,,,Orthodox,185.42,190.5,,21,,,,
1036,Martin Kampmann,Alexandre Barros,Red,FALSE,0,,,,Southpaw,175.26,,-1,28,17.4,314.2,Orthodox,182.88,182.88,32,26,,,,
1035,Eric Schafer,Antonio Mendes,Red,FALSE,-1,5,19,144,Southpaw,190.5,195.58,1,11.75,15.75,292.5,Orthodox,190.5,190.5,27,31,,,,
1034,Tomasz Drwal,Ivan Serati,Red,FALSE,0,,,,Orthodox,182.88,,-1,43,48,563,Orthodox,185.42,193.04,,26,,,,
1033,Dennis Siver,Nate Mohr,Red,FALSE,-1,26,11.66666667,389.6666667,Orthodox,175.26,182.88,-2,11.5,11.5,360.25,Orthodox,167.64,177.8,25,30,,,,
1032,Rashad Evans,Forrest Griffin,Red,TRUE,3,59.44444444,34.55555556,734.8888889,Orthodox,190.5,195.58,2,22.625,20.25,714.875,Orthodox,182.88,190.5,29,29,,,,
1031,Frank Mir,Minotauro Nogueira,Red,TRUE,2,41.5,42,794,Orthodox,190.5,195.58,2,9.333333333,14,217,Southpaw,190.5,200.66,32,29,,,,
1030,CB Dollaway,Mike Massenzio,Red,FALSE,1,0,3,88,Southpaw,187.96,185.42,1,5,3,210,Orthodox,187.96,193.04,26,25,,,,
1029,Rampage Jackson,Wanderlei Silva,Red,FALSE,1,18.2,18,530.6,Orthodox,180.34,187.96,-1,43.75,39,910.5,Orthodox,185.42,185.42,32,30,,,,
