Fight_ID,R_fighter,B_fighter,Winner,title_bout
5001,Marion Reneau,Yana Kunitskaya,Blue,FALSE
5000,Grant Dawson,Julian Erosa,Red,FALSE
4999,Maurice Greene,Jeff Hughes,Red,FALSE
4998,Louis Smolka,Matt Schnell,Blue,FALSE
4997,Alex Morono,Zak Ottow,Red,FALSE
4996,Alex White,Dan Moret,Red,FALSE
4995,Jon Jones,Anthony Smith,Red,TRUE
4994,Tyron Woodley,Kamaru Usman,Blue,TRUE
4993,Robbie Lawler,Ben Askren,Blue,FALSE
4992,Tecia Torres,Weili Zhang,Blue,FALSE
4991,Cody Garbrandt,Pedro Munhoz,Blue,FALSE
4990,Jeremy Stephens,Zabit Magomedsharipov,Blue,FALSE
4989,Misha Cirkunov,Johnny Walker,Blue,FALSE
4988,Cody Stamann,Alejandro Perez,Red,FALSE
4987,Diego Sanchez,Mickey Gall,Red,FALSE
4986,Edmen Shahbazyan,Charles Byrd,Red,FALSE
4985,Gina Mazany,Macy Chiasson,Blue,FALSE
4984,Polyana Viana,Hannah Cifers,Blue,FALSE
4983,Jan Blachowicz,Thiago Santos,Blue,FALSE
4982,Stefan Struve,Marcos Rogerio de Lima,Red,FALSE
4981,Gian Villante,Michal Oleksiejczuk,Blue,FALSE
4980,Liz Carmouche,Lucie Pudilova,Red,FALSE
4979,John Dodson,Petr Yan,Blue,FALSE
4978,Magomed Ankalaev,Klidson Abreu,Red,FALSE
4977,Dwight Grant,Carlo Pedersoli,Red,FALSE
4976,Daniel Teymur,Chris Fishgold,Blue,FALSE
4975,Veronica Macedo,Gillian Robertson,Blue,FALSE
4974,Damir Hadzovic,Polo Reyes,Red,FALSE
4973,Michel Prazeres,Ismail Naurdiev,Blue,FALSE
4972,Rustam Khabilov,Diego Ferreira,Blue,FALSE
4971,Damir Ismagulov,Joel Alvarez,Red,FALSE
4970,Francis Ngannou,Cain Velasquez,Red,FALSE
4969,James Vick,Paul Felder,Blue,FALSE
4968,Cortney Casey,Cynthia Calvillo,Blue,FALSE
4967,Alex Caceres,Kron Gracie,Blue,FALSE
4966,Vicente Luque,Bryan Barberena,Red,FALSE
4965,Andre Fili,Myles Jury,Red,FALSE
4964,Jimmie Rivera,Aljamain Sterling,Blue,FALSE
4963,Benito Lopez,Manny Bermudez,Blue,FALSE
4962,Ashlee Evans-Smith,Andrea Lee,Blue,FALSE
4961,Scott Holtzman,Nik Lentz,Blue,FALSE
4960,Renan Barao,Luke Sanders,Blue,FALSE
4959,Alexandra Albu,Emily Whitmire,Blue,FALSE
4958,Israel Adesanya,Anderson Silva,Red,FALSE
4957,Lando Vannata,Marcos Mariano,Red,FALSE
4956,Rani Yahya,Ricky Simon,Blue,FALSE
4955,Montana De La Rosa,Nadia Kassem,Red,FALSE
4954,Jimmy Crute,Sam Alvey,Red,FALSE
4953,Devonte Smith,Dong Hyun Ma,Red,FALSE
4952,Shane Young,Austin Arnett,Red,FALSE
4951,Kai Kara-France,Raulian Paiva,Red,FALSE
4950,Teruto Ishihara,Kyung Ho Kang,Blue,FALSE
4949,Callan Potter,Jalin Turner,Blue,FALSE
4948,Wuliji Buren,Jonathan Martinez,Blue,FALSE
4947,Raphael Assuncao,Marlon Moraes,Blue,FALSE
4946,Jose Aldo,Renato Moicano,Red,FALSE
4945,Demian Maia,Lyman Good,Red,FALSE
4944,Charles Oliveira,David Teymur,Red,FALSE
4943,Johnny Walker,Justin Ledet,Red,FALSE
4942,Livinha Souza,Sarah Frota,Red,FALSE
4941,Markus Perez,Anthony Hernandez,Red,FALSE
4940,Mara Romero Borella,Taila Santos,Red,FALSE
4939,Thiago Alves,Max Griffin,Red,FALSE
4938,Junior Albini,Jairzinho Rozenstruik,Blue,FALSE
4937,Geraldo de Freitas,Felipe Colares,Red,FALSE
4936,Ricardo Ramos,Said Nurmagomedov,Blue,FALSE
4935,Magomed Bibulatov,Rogerio Bontorin,Blue,FALSE
4934,Henry Cejudo,TJ Dillashaw,Red,TRUE
4933,Greg Hardy,Allen Crowder,Blue,FALSE
4932,Gregor Gillespie,Yancy Medeiros,Red,FALSE
4931,Joseph Benavidez,Dustin Ortiz,Red,FALSE
4930,Paige VanZant,Rachael Ostovich,Red,FALSE
4929,Glover Teixeira,Karl Roberson,Red,FALSE
4928,Alexander Hernandez,Donald Cerrone,Blue,FALSE
4927,Joanne Calderwood,Ariane Lipski,Red,FALSE
4926,Alonzo Menifield,Vinicius Moreira,Red,FALSE
4925,Cory Sandhagen,Mario Bautista,Red,FALSE
4924,Dennis Bermudez,Te Edwards,Red,FALSE
4923,Belal Muhammad,Geoff Neal,Blue,FALSE
4922,Kyle Stewart,Chance Rencountre,Blue,FALSE
4921,Jon Jones,Alexander Gustafsson,Red,TRUE
4920,Cris Cyborg,Amanda Nunes,Blue,TRUE
4919,Carlos Condit,Michael Chiesa,Blue,FALSE
4918,Ilir Latifi,Corey Anderson,Blue,FALSE
4917,Chad Mendes,Alexander Volkanovski,Blue,FALSE
4916,Andrei Arlovski,Walt Harris,Draw,FALSE
4915,Cat Zingano,Megan Anderson,Blue,FALSE
4914,Douglas Silva de Andrade,Petr Yan,Blue,FALSE
4913,BJ Penn,Ryan Hall,Blue,FALSE
4912,Nathaniel Wood,Andre Ewell,Red,FALSE
4911,Uriah Hall,Bevon Lewis,Red,FALSE
4910,Curtis Millender,Siyar Bahadurzada,Red,FALSE
4909,Brian Kelleher,Montel Jackson,Blue,FALSE
4908,Kevin Lee,Al Iaquinta,Blue,FALSE
4907,Edson Barboza,Dan Hooker,Red,FALSE
4906,Rob Font,Sergio Pettis,Red,FALSE
4905,Jim Miller,Charles Oliveira,Blue,FALSE
4904,Zak Ottow,Dwight Grant,Red,FALSE
4903,Bobby Green,Drakkar Klose,Blue,FALSE
4902,Jared Gordon,Joaquim Silva,Blue,FALSE
4901,Gerald Meerschaert,Jack Hermansson,Blue,FALSE
4900,Trevor Smith,Zak Cummings,Blue,FALSE
4899,Dan Ige,Jordan Griffin,Red,FALSE
4898,Adam Milstead,Mike Rodriguez,Blue,FALSE
4897,Chris de la Rocha,Juan Adams,Blue,FALSE
4896,Max Holloway,Brian Ortega,Red,TRUE
4895,Valentina Shevchenko,Joanna Jedrzejczyk,Red,TRUE
4894,Alex Oliveira,Gunnar Nelson,Blue,FALSE
4893,Hakeem Dawodu,Kyle Bochniak,Red,FALSE
4892,Jimi Manuwa,Thiago Santos,Blue,FALSE
4891,Claudia Gadelha,Nina Ansaroff,Blue,FALSE
4890,Olivier Aubin-Mercier,Gilbert Burns,Blue,FALSE
4889,Katlyn Chookagian,Jessica Eye,Blue,FALSE
4888,Elias Theodorou,Eryk Anders,Red,FALSE
4887,Brad Katona,Matthew Lopez,Red,FALSE
4886,Chad Laprise,Dhiego Lima,Blue,FALSE
4885,Diego Ferreira,Kyle Nelson,Red,FALSE
4884,Devin Clark,Aleksandar Rakic,Blue,FALSE
4883,Junior Dos Santos,Tai Tuivasa,Red,FALSE
4882,Mauricio Rua,Tyson Pedro,Red,FALSE
4881,Mark Hunt,Justin Willis,Blue,FALSE
4880,Jake Matthews,Anthony Rocco Martin,Blue,FALSE
4879,Suman Mokhtarian,Sodiq Yusuff,Blue,FALSE
4878,Jimmy Crute,Paul Craig,Red,FALSE
4877,Yushin Okami,Aleksei Kunchenko,Blue,FALSE
4876,Wilson Reis,Ben Nguyen,Red,FALSE
4875,Keita Nakamura,Salim Touahri,Red,FALSE
4874,Elias Garcia,Kai Kara-France,Blue,FALSE
4873,Mizuto Hirota,Christos Giagos,Blue,FALSE
4872,Alex Gorgees,Damir Ismagulov,Blue,FALSE
4871,Rafael Dos Anjos,Kamaru Usman,Blue,FALSE
4870,Juan Espino,Justin Frazier,Red,TRUE
4869,Pannie Kianzad,Macy Chiasson,Blue,TRUE
4868,Pedro Munhoz,Bryan Caraway,Red,FALSE
4867,Darren Stewart,Edmen Shahbazyan,Blue,FALSE
4866,Ji Yeon Kim,Antonina Shevchenko,Blue,FALSE
4865,Rick Glenn,Kevin Aguilar,Blue,FALSE
4864,Joseph Benavidez,Alex Perez,Red,FALSE
4863,Maurice Greene,Michel Batista,Red,FALSE
4862,Julija Stoliarenko,Leah Letson,Blue,FALSE
4861,Roosevelt Roberts,Darrell Horcher,Red,FALSE
4860,Tim Means,Ricky Rainey,Red,FALSE
4859,Raoni Barcelos,Chris Gutierrez,Red,FALSE
4858,Curtis Blaydes,Francis Ngannou,Blue,FALSE
4857,Alistair Overeem,Sergei Pavlovich,Red,FALSE
4856,Song Yadong,Vince Morales,Red,FALSE
4855,Li Jingliang,David Zawada,Red,FALSE
4854,Song Kenan,Alex Morono,Blue,FALSE
4853,Wu Yanan,Lauren Mueller,Red,FALSE
4852,Hu Yaozong,Rashad Coulter,Blue,FALSE
4851,Weili Zhang,Jessica Aguilar,Red,FALSE
