Fight_ID,B_fighter,B_current_streak,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_landed,B_total_time_fought(seconds),B_Stance,B_Height_cms,B_Reach_cms,B_age,B_Record,B_Takedown_Diff
4975,Gillian Robertson,-1,10,10,284,,165.1,160.02,23,,
4974,Polo Reyes,1,45.8,31.4,410.6,,180.34,180.34,34,,
4973,Ismail Naurdiev,0,,,,Orthodox,177.8,187.96,22,,
4972,Diego Ferreira,3,31.57142857,21.85714286,425.2857143,Orthodox,175.26,187.96,34,,
4971,Joel Alvarez,0,,,,Orthodox,190.5,195.58,24,,
4970,Cain Velasquez,1,51.28571429,18.57142857,474,Orthodox,185.42,195.58,36,,
4969,Paul Felder,-1,40.36363636,34,688.8181818,Orthodox,180.34,177.8,34,,
4968,Cynthia Calvillo,1,35.4,32.2,622.4,Orthodox,162.56,162.56,31,,
4967,Kron Gracie,0,,,,Southpaw,175.26,177.8,30,,
4966,Bryan Barberena,1,54.375,40.5,655.75,Southpaw,182.88,182.88,29,,
4965,Myles Jury,-1,22.81818182,12.90909091,524,Orthodox,177.8,185.42,30,,
4964,Aljamain Sterling,2,47.81818182,17.54545455,737.0909091,Orthodox,170.18,180.34,29,,
4963,Manny Bermudez,2,7.5,11.5,256,Orthodox,177.8,180.34,24,,
4962,Andrea Lee,1,56,24,900,Orthodox,167.64,175.26,30,,
4961,Nik Lentz,1,42.61904762,37.38095238,748,Orthodox,172.72,172.72,34,,
4960,Luke Sanders,-1,40.8,24.8,413.6,Southpaw,167.64,170.18,33,,
4959,Emily Whitmire,1,31,26,516,,165.1,160.02,27,,
4958,Anderson Silva,1,33.63636364,25.27272727,639.9545455,Southpaw,187.96,195.58,43,,
4957,Marcos Mariano,0,,,,Switch,185.42,,32,,
4956,Ricky Simon,2,29.5,51.5,900,Orthodox,167.64,175.26,26,,
4955,Nadia Kassem,1,52,45,900,Southpaw,165.1,167.64,23,,
4954,Sam Alvey,-1,30.4375,30.875,570,Southpaw,187.96,190.5,32,,
4953,Dong Hyun Ma,3,40.6,48.8,645.8,Orthodox,180.34,177.8,30,,
4952,Austin Arnett,1,43,61.66666667,776,Orthodox,182.88,182.88,27,,
4951,Raulian Paiva,0,,,,Orthodox,172.72,175.26,23,,
4950,Kyung Ho Kang,-1,31.33333333,25.83333333,787.6666667,Orthodox,175.26,185.42,31,,
4949,Jalin Turner,-1,31,41,232,Southpaw,190.5,195.58,23,,
4948,Jonathan Martinez,-1,71,79,900,Southpaw,172.72,177.8,32,,
4947,Marlon Moraes,3,25.75,22.25,475,Orthodox,167.64,170.18,30,,
4946,Renato Moicano,2,67.33333333,40.66666667,707.3333333,Orthodox,180.34,182.88,29,,
4945,Lyman Good,1,48,38.33333333,503,Orthodox,182.88,187.96,33,,
4944,David Teymur,5,54.6,39.4,694.2,Southpaw,175.26,185.42,29,,
4943,Justin Ledet,-1,41,51.25,709,Orthodox,193.04,203.2,30,,
4942,Sarah Frota,0,,,,Southpaw,167.64,175.26,31,,
4941,Anthony Hernandez,0,,,,Orthodox,182.88,190.5,25,,
4940,Taila Santos,0,,,,Orthodox,165.1,172.72,25,,
4939,Max Griffin,-1,40.2,39.2,698.4,Orthodox,180.34,193.04,33,,
4938,Jairzinho Rozenstruik,0,,,,Orthodox,193.04,198.12,30,,
4937,Felipe Colares,0,,,,Orthodox,175.26,175.26,24,,
4936,Said Nurmagomedov,1,65,32,900,Orthodox,172.72,177.8,26,,
4935,Rogerio Bontorin,0,,,,Orthodox,167.64,170.18,26,,
4934,TJ Dillashaw,4,66.93333333,36.53333333,745.8,Orthodox,167.64,170.18,32,,
4933,Allen Crowder,-1,15,22,153,Orthodox,190.5,193.04,29,,
4932,Yancy Medeiros,-1,31.58333333,40.58333333,413,Orthodox,177.8,190.5,31,,
4931,Dustin Ortiz,3,35.69230769,27.46153846,735.9230769,Orthodox,165.1,165.1,30,,
4930,Rachael Ostovich,-1,21.5,29,480.5,Orthodox,160.02,157.48,27,,
4929,Karl Roberson,1,18.33333333,10.66666667,468.6666667,Southpaw,185.42,187.96,28,,
4928,Donald Cerrone,1,42.48275862,43.13793103,552.2413793,Orthodox,185.42,185.42,35,,
4927,Ariane Lipski,0,,,,Orthodox,160.02,170.18,24,,
4926,Vinicius Moreira,0,,,,Orthodox,193.04,,29,,
4925,Mario Bautista,0,,,,Switch,175.26,182.88,25,,
4924,Te Edwards,-1,5,21,314,Orthodox,172.72,182.88,28,,
4923,Geoff Neal,2,36.5,16,275.5,Southpaw,180.34,190.5,28,,
4922,Chance Rencountre,-1,16,70,900,Southpaw,187.96,190.5,32,,
4921,Alexander Gustafsson,2,45.78571429,37.21428571,656.5,Orthodox,195.58,200.66,31,,
4920,Amanda Nunes,7,40.4,22.1,533.4,Orthodox,172.72,175.26,30,,
4919,Michael Chiesa,-2,17.54545455,19.81818182,485.0909091,Southpaw,185.42,190.5,31,,
4918,Corey Anderson,2,54,26.16666667,712.0833333,Orthodox,190.5,200.66,29,,
4917,Alexander Volkanovski,5,75.6,31.6,744.6,Orthodox,167.64,180.34,30,,
4916,Walt Harris,1,20.8,18.3,417,Southpaw,195.58,195.58,35,,
4915,Megan Anderson,-1,26,47,900,Orthodox,182.88,182.88,28,,
4914,Petr Yan,2,62.5,34.5,554,Switch,170.18,170.18,25,,
4913,Ryan Hall,2,34.5,7,900,,177.8,180.34,33,,
4912,Andre Ewell,1,53,44,900,Southpaw,172.72,190.5,30,,
4911,Bevon Lewis,0,,,,Orthodox,190.5,200.66,27,,
4910,Siyar Bahadurzada,3,35.33333333,22.5,607.1666667,Orthodox,180.34,185.42,34,,
4909,Montel Jackson,-1,42,25,900,Southpaw,177.8,190.5,26,,
4908,Al Iaquinta,-1,47.81818182,45.18181818,671,Orthodox,177.8,177.8,31,,
4907,Dan Hooker,4,33.5,36.5,500.3,Switch,182.88,190.5,28,,
4906,Sergio Pettis,-1,54.33333333,38.66666667,906.0833333,Orthodox,167.64,175.26,25,,
4905,Charles Oliveira,2,21.19047619,20.9047619,418.2380952,Orthodox,177.8,187.96,29,,
4904,Dwight Grant,0,,,,Switch,185.42,193.04,34,,
4903,Drakkar Klose,1,54,41.33333333,900,Orthodox,175.26,177.8,30,,
4902,Joaquim Silva,-1,35,36.5,683.5,,172.72,175.26,29,,
4901,Jack Hermansson,1,33.83333333,14.5,451.6666667,Orthodox,185.42,195.58,30,,
4900,Zak Cummings,-1,25.88888889,25.55555556,588.1111111,Southpaw,182.88,190.5,34,,
4899,Jordan Griffin,0,,,,Southpaw,177.8,182.88,28,,
4898,Mike Rodriguez,-1,40,50,900,Southpaw,193.04,208.28,30,,
4897,Juan Adams,0,,,,Orthodox,195.58,203.2,26,,
4896,Brian Ortega,6,35.57142857,51.28571429,584.4285714,Switch,172.72,175.26,27,,
4895,Joanna Jedrzejczyk,1,115.1818182,47.81818182,1072.909091,Orthodox,167.64,165.1,31,,
4894,Gunnar Nelson,-1,18.3,33.8,547.5,Switch,180.34,182.88,30,,
4893,Kyle Bochniak,-1,38.4,64.6,900,Orthodox,170.18,177.8,31,,
4892,Thiago Santos,2,31.5625,13.1875,386.9375,Orthodox,187.96,193.04,34,,
4891,Nina Ansaroff,3,71,48.8,883.8,Orthodox,165.1,162.56,33,,
4890,Gilbert Burns,-1,26.77777778,34.66666667,583.3333333,Orthodox,177.8,180.34,32,,
4889,Jessica Eye,2,48,46.66666667,843.3333333,Orthodox,167.64,167.64,32,,
4888,Eryk Anders,-1,41.6,49.8,871.2,Southpaw,185.42,190.5,31,,
4887,Matthew Lopez,-2,28.6,35.4,633.6,Southpaw,170.18,175.26,31,,
4886,Dhiego Lima,-4,17.16666667,19.5,406,Orthodox,187.96,187.96,29,,
4885,Kyle Nelson,0,,,,Switch,180.34,180.34,27,,
4884,Aleksandar Rakic,2,75,18,900,Orthodox,193.04,198.12,26,,
4883,Tai Tuivasa,3,38,21.33333333,437.6666667,Southpaw,187.96,190.5,25,,
4882,Tyson Pedro,-1,15.8,14.8,361,Orthodox,190.5,200.66,27,,
4881,Justin Willis,3,50,40,651,Southpaw,185.42,198.12,31,,
4880,Anthony Rocco Martin,2,33.6,35.4,716.5,Orthodox,182.88,185.42,28,,
4879,Sodiq Yusuff,0,,,,Orthodox,175.26,180.34,25,,
4878,Paul Craig,1,19.5,28.25,466,Orthodox,190.5,193.04,31,,
4877,Aleksei Kunchenko,1,44,56,900,Orthodox,172.72,177.8,34,,
4876,Ben Nguyen,-1,28.5,24.66666667,447.8333333,Switch,165.1,165.1,30,,
4875,Salim Touahri,-1,35,38,900,Orthodox,177.8,182.88,29,,
4874,Kai Kara-France,0,,,,Orthodox,165.1,175.26,25,,
4873,Christos Giagos,-2,17,16.75,472.75,Orthodox,177.8,180.34,28,,
4872,Damir Ismagulov,0,,,,Orthodox,177.8,,27,,
4871,Kamaru Usman,8,49.625,19.875,818.375,Switch,182.88,193.04,31,,
4870,Justin Frazier,0,,,,Southpaw,182.88,190.5,29,,
4869,Macy Chiasson,0,,,,,180.34,182.88,27,,
4868,Bryan Caraway,-1,32.11111111,47.33333333,779.2222222,Orthodox,172.72,172.72,34,,
4867,Edmen Shahbazyan,0,,,,Orthodox,187.96,,21,,
4866,Antonina Shevchenko,0,,,,Southpaw,172.72,170.18,34,,
4865,Kevin Aguilar,0,,,,Orthodox,170.18,185.42,30,,
4864,Alex Perez,3,45.66666667,26,513.3333333,Orthodox,167.64,165.1,26,,
4863,Michel Batista,0,,,,,190.5,,34,,
4862,Leah Letson,0,,,,,170.18,180.34,26,,
4861,Darrell Horcher,-1,26.33333333,55.66666667,772.6666667,Southpaw,177.8,177.8,31,,
4860,Ricky Rainey,-1,19,25,552,Switch,185.42,195.58,35,,
4859,Chris Gutierrez,0,,,,Orthodox,175.26,175.26,27,,
4858,Francis Ngannou,-2,14.5,15.75,484.75,Orthodox,193.04,210.82,32,,
4857,Sergei Pavlovich,0,,,,Southpaw,190.5,213.36,26,,
4856,Vince Morales,0,,,,Orthodox,170.18,177.8,28,,
4855,David Zawada,-1,33,45,900,Orthodox,182.88,190.5,28,,
4854,Alex Morono,-1,44,28.83333333,722,Orthodox,180.34,182.88,28,,
4853,Lauren Mueller,1,58,68,900,Orthodox,165.1,170.18,27,,
4852,Rashad Coulter,-3,25.33333333,55,441.3333333,Orthodox,180.34,193.04,36,,
4851,Jessica Aguilar,1,85,98.33333333,900,Orthodox,160.02,160.02,36,,
4850,Martin Day,0,,,,Orthodox,177.8,185.42,30,,
4849,Syuri Kondo,-1,68.5,52,466.5,Orthodox,162.56,167.64,29,,
4848,John Phillips,-1,0,11,238,Southpaw,180.34,190.5,33,,
4847,Louis Smolka,-4,47.2,41.2,729.1,Orthodox,175.26,172.72,27,,
4846,Santiago Ponzinibbio,6,40,37.9,566.9,Orthodox,182.88,185.42,32,,
4845,Darren Elkins,-1,38.36842105,31.36842105,698.9473684,Orthodox,177.8,180.34,34,,
4844,Johnny Walker,0,,,,Orthodox,195.58,208.28,26,,
4843,Ian Heinisch,0,,,,Orthodox,180.34,182.88,30,,
4842,Marlon Vera,1,38.55555556,47.44444444,721.7777778,Switch,172.72,177.8,25,,
4841,Poliana Botelho,2,38,14.5,466.5,Orthodox,172.72,170.18,29,,
4840,Bartosz Fabinski,3,33.66666667,14.66666667,900,Orthodox,182.88,190.5,32,,
4839,Ulka Sasaki,1,16.5,19.625,466,Southpaw,177.8,180.34,29,,
4838,Austin Arnett,-2,27.5,77.5,714,Orthodox,182.88,182.88,27,,
4837,Hector Aldana,-1,39,32,585,Orthodox,180.34,182.88,30,,
4836,Jesus Pinedo,0,,,,,177.8,,22,,
4835,Anderson Dos Santos,0,,,,Orthodox,165.1,177.8,33,,
4834,Yair Rodriguez,-1,51.14285714,34.28571429,794.1428571,,180.34,180.34,26,,
4833,Mike Perry,1,44.125,49.125,642.75,Orthodox,177.8,180.34,27,,
4832,Germaine de Randamie,3,35.6,26.6,656.8,Orthodox,175.26,180.34,34,,
4831,Thiago Moises,0,,,,Orthodox,175.26,177.8,23,,
