Al Iaquinta,Donald Cerrone,Blue,5,0,2,8,22,Orthodox,185.42,185.42,0,1,3,9,Orthodox,177.8,177.8,36,32
Derek Brunson,Elias Theodorou,Red,3,0,3,2,8,Orthodox,185.42,190.5,2,0,5,9,Southpaw,185.42,195.58,30,35
Cub Swanson,Shane Burgos,Blue,3,0,1,1,4,Orthodox,180.34,190.5,3,0,6,10,Orthodox,172.72,177.8,28,35
Brad Katona,Merab Dvalishvili,Blue,3,0,1,2,1,Orthodox,167.64,172.72,0,2,0,2,Orthodox,167.64,162.56,28,27
Walt Harris,Serghei Spivac,Red,3,0,0,0,0,Orthodox,190.5,198.12,1,0,7,4,Southpaw,195.58,195.58,24,35
Marc-Andre Barriault,Andrew Sanchez,Blue,3,0,1,2,3,Orthodox,185.42,187.96,0,0,0,0,Orthodox,185.42,187.96,31,29
Macy Chiasson,Sarah Moras,Red,3,2,0,3,2,,170.18,170.18,0,2,0,2,,180.34,182.88,31,27
Aiemann Zahabi,Vince Morales,Blue,3,1,0,1,0,Orthodox,170.18,177.8,1,0,1,1,Orthodox,172.72,172.72,28,31
Nordine Taleb,Kyle Prepolec,Red,3,0,0,0,0,Southpaw,177.8,177.8,2,0,4,6,Orthodox,185.42,187.96,29,37
Kyle Nelson,Matt Sayles,Blue,3,1,0,1,0,Orthodox,170.18,172.72,1,0,1,0,Switch,180.34,180.34,25,28
Arjan Bhullar,Juan Adams,Red,3,0,1,0,1,Orthodox,195.58,203.2,0,1,1,2,Orthodox,185.42,190.5,27,32
Mitch Gagnon,Cole Smith,Blue,3,0,0,0,0,Orthodox,180.34,170.18,2,0,3,4,Southpaw,165.1,165.1,30,34
Jacare Souza,Jack Hermansson,Blue,5,0,3,2,6,Orthodox,185.42,195.58,0,1,3,9,Orthodox,185.42,182.88,30,39
Greg Hardy,Dmitrii Smoliakov,Red,3,2,0,2,0,Switch,187.96,187.96,1,0,1,0,Orthodox,195.58,203.2,36,30
Alex Oliveira,Mike Perry,Blue,3,1,0,4,5,Orthodox,177.8,180.34,1,0,5,9,Orthodox,180.34,193.04,27,31
Glover Teixeira,Ion Cutelaba,Red,3,0,2,2,3,Southpaw,185.42,190.5,0,1,5,11,Orthodox,187.96,193.04,25,39
John Lineker,Cory Sandhagen,Blue,3,0,3,0,3,Switch,180.34,177.8,0,2,3,12,Orthodox,160.02,170.18,27,28
Roosevelt Roberts,Thomas Gifford,Red,3,0,0,0,0,Orthodox,185.42,190.5,0,1,0,1,Orthodox,187.96,185.42,26,25
Ben Saunders,Takashi Sato,Blue,3,0,0,0,0,Southpaw,177.8,185.42,2,0,8,9,Orthodox,187.96,195.58,28,36
Andrei Arlovski,Augusto Sakai,Blue,3,0,1,0,1,Orthodox,190.5,195.58,3,0,12,16,Orthodox,190.5,195.58,27,40
Carla Esparza,Virna Jandiroba,Red,3,0,0,0,0,Orthodox,160.02,162.56,2,0,4,3,,154.94,160.02,30,31
Gilbert Burns,Mike Davis,Red,3,0,0,0,0,Orthodox,182.88,182.88,0,1,3,7,Orthodox,177.8,180.34,26,32
Jim Miller,Jason Gonzalez,Red,3,1,0,2,1,Southpaw,187.96,187.96,1,0,13,18,Southpaw,172.72,180.34,29,35
Angela Hill,Jodie Esquibel,Red,3,2,0,2,0,Orthodox,154.94,162.56,2,0,6,3,Orthodox,160.02,162.56,32,34
Court McGee,Dhiego Lima,Blue,3,0,1,5,2,Orthodox,187.96,187.96,0,1,6,8,Orthodox,180.34,190.5,30,34
Alistair Overeem,Aleksei Oleinik,Red,5,0,2,2,6,Orthodox,187.96,203.2,0,1,6,9,Orthodox,193.04,203.2,41,38
Islam Makhachev,Arman Tsarukyan,Red,3,0,0,0,0,Orthodox,170.18,182.88,0,4,1,5,Orthodox,177.8,177.8,22,27
Sergei Pavlovich,Marcelo Golm,Red,3,2,0,2,1,Orthodox,190.5,190.5,1,0,1,0,Southpaw,190.5,213.36,26,26
Roxanne Modafferi,Antonina Shevchenko,Red,3,0,1,0,1,Southpaw,172.72,170.18,1,0,3,1,,170.18,175.26,34,36
Krzysztof Jotko,Alen Amedovski,Red,3,0,0,0,0,Orthodox,177.8,187.96,3,0,4,6,Southpaw,185.42,195.58,31,29
Movsar Evloev,Seungwoo Choi,Red,3,0,0,0,0,Orthodox,182.88,187.96,0,0,0,0,Orthodox,170.18,182.88,26,25
