fight_id,r_fighter,r_current_streak,r_avg_sig_str_landed,r_avg_opp_sig_str_landed,r_total_time_fought_seconds,r_stance,r_height_cms,r_reach_cms,r_age,r_record,r_takedown_diff,b_fighter,b_current_streak,b_avg_sig_str_landed,b_avg_opp_sig_str_landed,b_total_time_fought_seconds,b_stance,b_height_cms,b_reach_cms,b_age,b_record,b_takedown_diff,winner,title_bout
5084,Arjan Bhullar,1,26.66666667,29.33333333,739.6666667,Orthodox,185.42,190.5,32,1,1.333333333,Juan Adams,1,86,41,658,Orthodox,195.58,203.2,27,1,1,Red,f
5083,Mitch Gagnon,-2,28.57142857,19.14285714,538.8571429,Southpaw,165.1,165.1,34,1,-0.571428571,Cole Smith,0,,,,Orthodox,180.34,170.18,30,0,0,Blue,f
5082,Jacare Souza,1,26.83333333,24.75,509.1666667,Orthodox,185.42,182.88,39,6,1,Jack Hermansson,3,30.875,11.125,378,Orthodox,185.42,195.58,30,4,0.5,Blue,f
5081,Greg Hardy,-1,29,12,448,Orthodox,195.58,203.2,30,-1,-1,Dmitrii Smoliakov,-2,9.5,19.5,349.5,Switch,187.96,187.96,36,-2,-1,Red,f
5080,Alex Oliveira,-1,26.85714286,17.57142857,523.9285714,Orthodox,180.34,193.04,31,4,0.928571429,Mike Perry,-1,40.44444444,44.66666667,603.1111111,Orthodox,177.8,180.34,27,1,-0.111111111,Blue,f
5079,Glover Teixeira,1,30.4375,34.9375,566.375,Orthodox,187.96,193.04,39,6,-0.1875,Ion Cutelaba,2,42.6,29.2,553.8,Southpaw,185.42,190.5,25,1,0.4,Red,f
5078,John Lineker,2,60.26666667,45.66666667,693.3333333,Orthodox,160.02,170.18,28,9,-0.733333333,Cory Sandhagen,3,54.33333333,16.66666667,366.6666667,Switch,180.34,177.8,27,3,-0.333333333,Blue,f
5077,Roosevelt Roberts,1,16,10,290,Orthodox,187.96,185.42,25,1,0,Thomas Gifford,0,,,,Orthodox,185.42,190.5,26,0,0,Red,f
5076,Ben Saunders,-2,25.17647059,28.23529412,473.7647059,Orthodox,187.96,195.58,36,1,-0.705882353,Takashi Sato,0,,,,Southpaw,177.8,185.42,28,0,0,Blue,f
3670,Sara McMann,-2,19,23.8,457,Orthodox,167.64,167.64,35,,,Jessica Eye,-2,55.6,52,798,Orthodox,167.64,167.64,29,,,Red,f
